STATUS,CATEGORY1,CATEGORY2,CATEGORY3,MEASURE1,MEASURE2,MEASURE3,MEASURE4,MEASURE5,MEASURE6,MEASURE7,MEASURE8,MEASURE9,MEASURE10,MEASURE11,MEASURE12,MEASURE13,MEASURE14,MEASURE15,MEASURE16,MEASURE17
failed,PE,no,no,740,1185093,2641,2796,24413,16631,34822,63684,126610,246283,302162,284658,190473,69462,80564,23952,6
failed,PE,no,no,215,386992,843,868,14968,4699,5646,8159,13445,39058,29903,32017,44287,57418,165792,49097,2
failed,PE,no,no,2653,2846836,6253,5492,106114,54899,82230,155880,266304,470286,435255,887059,972665,1105780,3045854,1723035,209
failed,NA,no,no,3294,1978295,14470,8561,69627,58360,137350,311850,462283,645048,423662,303706,273760,205541,466016,136762,8
failed,PE,no,no,171,271985,808,839,15792,4215,4289,5261,7356,75974,24810,39038,71294,80483,316450,153398,0
failed,PE,no,no,769,561366,2778,2309,27575,14080,17924,30868,54399,272751,163952,212014,210883,179392,491566,117348,2
failed,PE,no,no,2783,729663,2589,5426,78144,24740,26978,39584,54389,270489,187293,220307,354101,380365,921253,310902,14
failed,PE,no,no,75,178251,297,267,1599,730,789,1119,1818,3090,7490,40578,59035,65065,186586,71309,3
failed,PE,no,no,141,162003,206,725,7652,5195,1635,2665,4864,43703,43724,71796,76058,46530,95508,29652,2
failed,PE,no,no,3167,2204302,6741,10568,122012,43810,58661,87760,188658,1479553,1191240,943673,1029296,1399333,3674103,1734962,361
failed,PE,no,no,349,314497,1204,736,64777,13574,11113,11249,17568,303351,151153,157925,165691,143680,329181,122177,17
failed,PE,no,no,3448,3045517,9726,7831,205630,99143,127640,191832,288053,728967,684883,887079,975976,865640,1690780,777978,150
failed,PE,no,no,174,179443,1328,687,15922,9494,6446,7116,9195,14517,41543,91564,108854,211667,403936,129775,354
failed,PE,no,no,1052,602508,11483,8861,117292,33310,32416,41883,58802,121111,272329,335694,353100,498989,905111,340054,381
failed,PE,no,no,75,81750,92,109,5274,2205,4024,15041,24349,17052,20335,41704,39220,42505,63184,15928,15
failed,PE,yes,no,578,1427511,2551,2178,52766,15073,15415,17242,21920,44532,83656,257775,313428,523158,1517641,915988,228
failed,PE,no,no,261,616666,2510,4086,29856,34610,59552,112201,172110,468730,222757,205660,118568,103035,229378,97091,84
failed,PE,no,no,204,345255,2075,1623,24974,3397,2832,3106,3876,9004,17502,57898,59940,105820,267471,90051,9
failed,PE,no,no,2053,2016269,7728,7396,144129,42453,53352,86707,133887,279595,303316,490513,576559,672358,1131843,373125,1720
